family,n_factors,n_pairs,max_abs_spearman_static,max_abs_spearman_dynamic,n_high_redundancy_pairs_static,n_high_redundancy_pairs_dynamic,redundancy_assessment,notes
breakout,2,1,0.776,0.7698,0,0,MODERATE_REDUNDANCY,
cross_sectional_normalized,2,1,0.0111,0.0164,0,0,LOW_REDUNDANCY,
intraday_candle,3,3,0.2064,0.1782,0,0,LOW_REDUNDANCY,
momentum,3,3,0.6351,0.6373,0,0,LOW_REDUNDANCY,
price_position,2,1,0.7121,0.7048,0,0,MODERATE_REDUNDANCY,
quote_volume_liquidity,2,1,0.8879,0.8727,1,1,HIGH_REDUNDANCY,
range_position,3,3,0.8416,0.7945,0,0,MODERATE_REDUNDANCY,
reversal,3,3,0.5685,0.5784,0,0,LOW_REDUNDANCY,
trend_ma,2,1,0.6618,0.666,0,0,LOW_REDUNDANCY,
volatility,3,3,0.7222,0.6546,0,0,MODERATE_REDUNDANCY,
volume_liquidity,2,1,0.8897,0.8744,1,1,HIGH_REDUNDANCY,
