factor_i,factor_j,family_i,family_j,same_family,tier_i,tier_j,pearson_corr,spearman_corr,abs_spearman_corr,n_pairwise_obs,redundancy_level
mom_5h,mom_10h,momentum,momentum,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.70025,0.635145,0.635145,214561,LOW_REDUNDANCY
mom_5h,mom_40h,momentum,momentum,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.374155,0.306575,0.306575,213061,LOW_REDUNDANCY
mom_5h,rev_3h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.774854,-0.70182,0.70182,214811,MODERATE_REDUNDANCY
mom_5h,rev_10h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.70025,-0.635145,0.635145,214561,LOW_REDUNDANCY
mom_5h,rev_24h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.462984,-0.384225,0.384225,213861,LOW_REDUNDANCY
mom_5h,vol_5h,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.126136,0.029439,0.029439,214811,LOW_REDUNDANCY
mom_5h,vol_40h,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.071876,-0.00986,0.00986,213061,LOW_REDUNDANCY
mom_5h,vol_ratio_5_20,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,0.046309,0.050188,0.050188,214061,LOW_REDUNDANCY
mom_5h,range_1h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.039094,0.030606,0.030606,214811,LOW_REDUNDANCY
mom_5h,range_4h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.067632,-0.001984,0.001984,214811,LOW_REDUNDANCY
mom_5h,range_24h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.076138,-0.029794,0.029794,213911,LOW_REDUNDANCY
mom_5h,price_pos_24h,momentum,price_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.40405,0.621085,0.621085,213911,LOW_REDUNDANCY
mom_5h,price_pos_72h,momentum,price_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,0.298289,0.419334,0.419334,211511,LOW_REDUNDANCY
mom_5h,vol_zscore_20h,momentum,volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.081616,0.06013,0.06013,214111,LOW_REDUNDANCY
mom_5h,vol_zscore_48h,momentum,volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.101853,0.058565,0.058565,212711,LOW_REDUNDANCY
mom_5h,qvol_zscore_20h,momentum,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.112837,0.082782,0.082782,214111,LOW_REDUNDANCY
mom_5h,qvol_zscore_48h,momentum,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.141296,0.080689,0.080689,212711,LOW_REDUNDANCY
mom_5h,ma_gap_5_20,momentum,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.511363,0.450977,0.450977,214111,LOW_REDUNDANCY
mom_5h,ma_gap_10_40,momentum,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.194415,0.150924,0.150924,213111,LOW_REDUNDANCY
mom_5h,breakout_dist_20h,momentum,breakout,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.421685,0.658873,0.658873,214111,LOW_REDUNDANCY
mom_5h,breakout_dist_48h,momentum,breakout,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.340016,0.494931,0.494931,212711,LOW_REDUNDANCY
mom_5h,candle_body,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.233288,0.359049,0.359049,214811,LOW_REDUNDANCY
mom_5h,candle_wick_upper,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.024042,0.062574,0.062574,214811,LOW_REDUNDANCY
mom_5h,candle_wick_lower,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,-0.042229,-0.0752,0.0752,214811,LOW_REDUNDANCY
mom_5h,xs_rank_ret_1h,momentum,cross_sectional_normalized,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.222824,0.285027,0.285027,214811,LOW_REDUNDANCY
mom_5h,xs_rank_vol,momentum,cross_sectional_normalized,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.018719,-0.005198,0.005198,214111,LOW_REDUNDANCY
mom_10h,mom_40h,momentum,momentum,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.527938,0.434856,0.434856,213061,LOW_REDUNDANCY
mom_10h,rev_3h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.552432,-0.477144,0.477144,214561,LOW_REDUNDANCY
mom_10h,rev_10h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-1.0,-1.0,1.0,214561,NEAR_DUPLICATE
mom_10h,rev_24h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.661119,-0.568465,0.568465,213861,LOW_REDUNDANCY
mom_10h,vol_5h,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.159419,0.040402,0.040402,214561,LOW_REDUNDANCY
mom_10h,vol_40h,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.108484,-0.00292,0.00292,213061,LOW_REDUNDANCY
mom_10h,vol_ratio_5_20,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,0.05005,0.05241,0.05241,214061,LOW_REDUNDANCY
mom_10h,range_1h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.09691,0.04376,0.04376,214561,LOW_REDUNDANCY
mom_10h,range_4h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.016857,0.024296,0.024296,214561,LOW_REDUNDANCY
mom_10h,range_24h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.084596,-0.033308,0.033308,213911,LOW_REDUNDANCY
mom_10h,price_pos_24h,momentum,price_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.477081,0.754714,0.754714,213911,MODERATE_REDUNDANCY
mom_10h,price_pos_72h,momentum,price_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,0.376856,0.546812,0.546812,211511,LOW_REDUNDANCY
mom_10h,vol_zscore_20h,momentum,volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.086081,0.073853,0.073853,214111,LOW_REDUNDANCY
mom_10h,vol_zscore_48h,momentum,volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.118229,0.08147,0.08147,212711,LOW_REDUNDANCY
mom_10h,qvol_zscore_20h,momentum,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.121722,0.104253,0.104253,214111,LOW_REDUNDANCY
mom_10h,qvol_zscore_48h,momentum,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.163927,0.113755,0.113755,212711,LOW_REDUNDANCY
mom_10h,ma_gap_5_20,momentum,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.83441,0.797545,0.797545,214111,MODERATE_REDUNDANCY
mom_10h,ma_gap_10_40,momentum,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.481649,0.410134,0.410134,213111,LOW_REDUNDANCY
mom_10h,breakout_dist_20h,momentum,breakout,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.488305,0.782013,0.782013,214111,MODERATE_REDUNDANCY
mom_10h,breakout_dist_48h,momentum,breakout,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.420139,0.629254,0.629254,212711,LOW_REDUNDANCY
mom_10h,candle_body,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.166687,0.245175,0.245175,214561,LOW_REDUNDANCY
mom_10h,candle_wick_upper,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.02204,0.048605,0.048605,214561,LOW_REDUNDANCY
mom_10h,candle_wick_lower,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,-0.028217,-0.047432,0.047432,214561,LOW_REDUNDANCY
mom_10h,xs_rank_ret_1h,momentum,cross_sectional_normalized,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.163601,0.197991,0.197991,214561,LOW_REDUNDANCY
mom_10h,xs_rank_vol,momentum,cross_sectional_normalized,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.033057,-0.000214,0.000214,214111,LOW_REDUNDANCY
mom_40h,rev_3h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.296614,-0.237806,0.237806,213061,LOW_REDUNDANCY
mom_40h,rev_10h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.527938,-0.434856,0.434856,213061,LOW_REDUNDANCY
