factor_id,factor_family,formula_short,expected_direction,registry_status,candidate_status,diagnostic_tier,recommended_research_use,direction_alignment,turnover_flag,coverage_flag,multi_horizon_consistency,static_RankIC_1h,dynamic_RankIC_1h,rankic_same_sign_1h,static_turnover_1h,dynamic_turnover_1h,redundancy_group_id,is_representative_candidate,redundancy_role,primary_risk_flags,curation_notes
mom_5h,momentum,close/close_lag_5-1,positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_3H,-0.0237835826208074,-0.0282437972147541,True,0.343788803874591,0.3521612961251184,,False,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,
mom_10h,momentum,close/close_lag_10-1,positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_3H,-0.0188347542914169,-0.0233806620530677,True,0.2492133498400908,0.2551191846539115,RG4,False,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; REDUNDANT,
mom_40h,momentum,close/close_lag_40-1,positive,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,NORMAL_TURNOVER,PASS,MIXED_2H,-0.0006707424132456,-0.0122768424460376,True,0.130424393537998,0.1331430368073394,,False,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,
rev_3h,reversal,-(close/close_lag_3-1),negative,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_4H,0.0253248660016775,0.0300372217233594,True,0.4327410840736449,0.4431919600430525,,False,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,
rev_10h,reversal,-(close/close_lag_10-1),negative,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_3H,0.0188347542914169,0.0233806620530677,True,0.2490753636645001,0.2529892655482676,RG4,True,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,
rev_24h,reversal,-(close/close_lag_24-1),negative,DIAGNOSTIC_PROBE,selected_for_7B,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,misaligned_both,NORMAL_TURNOVER,PASS,MIXED_2H,0.0139122675985543,0.0189861554117753,True,0.1637103451844951,0.1663241343817207,RG3,True,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,
vol_5h,volatility,"std(ret_1h, 5)",negative,DIAGNOSTIC_PROBE,selected_for_7B,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,aligned_both,NORMAL_TURNOVER,PASS,CONSISTENT_4H,-0.0165921199276039,-0.0381793366672759,True,0.2188448360254527,0.2315705223687921,,False,NOT_IN_REDUNDANCY_GROUP,NONE,
vol_40h,volatility,"std(ret_1h, 40)",negative,DIAGNOSTIC_PROBE,selected_for_7B,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,aligned_both,LOW_TURNOVER,PASS,CONSISTENT_4H,-0.0167526530019578,-0.0420860358029523,True,0.03123603968625,0.0356127980241455,RG6,True,REPRESENTATIVE_CANDIDATE,NONE,
vol_ratio_5_20,volatility,"std(ret_1h, 5)/std(ret_1h, 20)",conditional,DIAGNOSTIC_PROBE,selected_for_7B,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,conditional_not_scored,NORMAL_TURNOVER,PASS,MIXED_2H,-0.0039283188372882,-0.0064046170528635,True,0.3380189752339589,0.3436575356624833,,False,NOT_IN_REDUNDANCY_GROUP,WEAK_SIGNAL,
range_1h,range_position,(high-low)/close,conditional,DIAGNOSTIC_PROBE,selected_for_7B,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,conditional_not_scored,NORMAL_TURNOVER,PASS,CONSISTENT_4H,-0.0160947517975154,-0.0412547604368507,True,0.3710604189182235,0.3956854856551588,,False,NOT_IN_REDUNDANCY_GROUP,NONE,
