factor_id,family,label,expected_direction,static_RankIC_mean,dynamic_RankIC_mean,delta_RankIC,rankic_same_sign,static_IC_mean,dynamic_IC_mean,delta_IC,static_direction_adjusted_spread,dynamic_direction_adjusted_spread,delta_direction_adjusted_spread,static_turnover,dynamic_turnover,delta_turnover,static_coverage,dynamic_coverage,delta_coverage,stability_bucket
ema_12_26_gap,technical_indicators,ret_fwd_1h,positive,-0.003519,-0.011089,-0.00757,True,0.009261,0.00018,-0.009081,0.00051272,3.087e-05,-0.00048185,0.067956,0.069486,0.00153,1.0,1.0,0.0,STABLE
ema_12_26_gap,technical_indicators,ret_fwd_4h,positive,-0.007131,-0.019645,-0.012514,True,0.004267,-0.004841,-0.009107,0.00162289,9.46e-05,-0.00152828,0.067954,0.069483,0.001529,1.0,1.0,0.0,MODERATE_SHIFT
ema_12_26_gap,technical_indicators,ret_fwd_24h,positive,0.004611,-0.021493,-0.026104,False,0.0047,-0.009477,-0.014176,0.00983708,0.00010596,-0.00973111,0.068021,0.069461,0.00144,1.0,1.0,0.0,SIGN_FLIP
ema_12_26_gap,technical_indicators,ret_fwd_72h,positive,0.024089,-0.015553,-0.039642,False,0.006729,-0.010188,-0.016917,0.01249358,0.0036491,-0.00884448,0.068161,0.069489,0.001329,1.0,1.0,0.0,SIGN_FLIP
rsi_28h,technical_indicators,ret_fwd_1h,negative,-0.007113,-0.017538,-0.010425,True,0.013578,-0.002983,-0.016561,-0.00045912,-1.302e-05,0.0004461,0.153047,0.155131,0.002084,0.993519,0.998428,0.004909,MODERATE_SHIFT
rsi_28h,technical_indicators,ret_fwd_4h,negative,-0.008472,-0.022072,-0.0136,True,0.017278,-0.005026,-0.022304,-0.00184651,-0.00019117,0.00165533,0.153066,0.155142,0.002075,0.993519,0.998428,0.004909,MODERATE_SHIFT
rsi_28h,technical_indicators,ret_fwd_24h,negative,0.004626,-0.019805,-0.024431,False,0.031285,-0.005143,-0.036428,-0.00943763,-0.0008027,0.00863494,0.153041,0.15503,0.001988,0.993519,0.998428,0.004909,SIGN_FLIP
rsi_28h,technical_indicators,ret_fwd_72h,negative,0.030802,-0.009475,-0.040277,False,0.044744,0.00094,-0.043803,-0.01765574,-0.00488502,0.01277072,0.153425,0.155017,0.001592,0.993519,0.998428,0.004909,SIGN_FLIP
rsi_7h,technical_indicators,ret_fwd_1h,negative,-0.019799,-0.023726,-0.003927,True,0.006234,-0.006775,-0.01301,-0.00043117,-5.155e-05,0.00037962,0.294813,0.294758,-5.6e-05,0.99838,0.999607,0.001227,STABLE
rsi_7h,technical_indicators,ret_fwd_4h,negative,-0.021114,-0.024616,-0.003502,True,0.007573,-0.006392,-0.013964,-0.00149499,-0.00028451,0.00121048,0.294848,0.294775,-7.3e-05,0.99838,0.999607,0.001227,STABLE
rsi_7h,technical_indicators,ret_fwd_24h,negative,-0.00708,-0.013951,-0.00687,True,0.014892,-0.003121,-0.018013,-0.00624291,-0.00094211,0.0053008,0.294851,0.294753,-9.8e-05,0.99838,0.999607,0.001227,STABLE
rsi_7h,technical_indicators,ret_fwd_72h,negative,0.009589,-0.004868,-0.014457,False,0.017544,-4.4e-05,-0.017588,-0.00889573,-0.00359951,0.00529622,0.294934,0.294729,-0.000205,0.99838,0.999607,0.001227,SIGN_FLIP
williams_r_14h,technical_indicators,ret_fwd_1h,negative,0.018052,0.016476,-0.001576,True,-0.002829,0.002928,0.005758,0.00022997,8.695e-05,-0.00014302,0.347411,0.354115,0.006704,0.996991,0.99927,0.002279,STABLE
williams_r_14h,technical_indicators,ret_fwd_4h,negative,0.016371,0.01355,-0.002822,True,-0.004489,0.001314,0.005803,0.00106932,0.00037882,-0.0006905,0.347483,0.354137,0.006654,0.996991,0.99927,0.002279,STABLE
williams_r_14h,technical_indicators,ret_fwd_24h,negative,0.007726,0.001769,-0.005956,True,-0.00537,-0.002876,0.002494,0.00394678,0.00091276,-0.00303402,0.347645,0.354131,0.006486,0.996991,0.99927,0.002279,STABLE
williams_r_14h,technical_indicators,ret_fwd_72h,negative,-0.005122,-0.007363,-0.002241,True,-0.004082,-0.005524,-0.001442,0.00547966,0.00357586,-0.0019038,0.347701,0.354072,0.006371,0.996991,0.99927,0.002279,STABLE
downside_vol_20h,realized_skew_kurtosis,ret_fwd_1h,negative,-0.012126,-0.035079,-0.022953,True,0.001554,-0.016597,-0.018151,-0.00044065,0.00012628,0.00056693,0.066543,0.068172,0.001629,0.99537,0.998877,0.003507,MODERATE_SHIFT
downside_vol_20h,realized_skew_kurtosis,ret_fwd_4h,negative,-0.012274,-0.052073,-0.039799,True,0.014213,-0.027065,-0.041278,-0.00218179,0.00047823,0.00266002,0.066589,0.06818,0.001591,0.99537,0.998877,0.003507,UNSTABLE_SHIFT
downside_vol_20h,realized_skew_kurtosis,ret_fwd_24h,negative,-0.011238,-0.083711,-0.072473,True,0.025272,-0.040483,-0.065754,-0.01277188,0.00129485,0.01406673,0.066752,0.068207,0.001454,0.99537,0.998877,0.003507,UNSTABLE_SHIFT
