factor_i,factor_j,family_i,family_j,same_family,tier_i,tier_j,pearson_corr,spearman_corr,abs_spearman_corr,n_pairwise_obs,redundancy_level
ema_12_26_gap,rsi_28h,technical_indicators,technical_indicators,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.748063,0.898608,0.898608,3308811,HIGH_REDUNDANCY
ema_12_26_gap,rsi_7h,technical_indicators,technical_indicators,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.486891,0.589164,0.589164,3314397,LOW_REDUNDANCY
ema_12_26_gap,williams_r_14h,technical_indicators,technical_indicators,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.343841,-0.443699,0.443699,3312801,LOW_REDUNDANCY
ema_12_26_gap,downside_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.255682,-0.285719,0.285719,3310939,LOW_REDUNDANCY
ema_12_26_gap,vol_of_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.085028,-0.002522,0.002522,3309875,LOW_REDUNDANCY
ema_12_26_gap,mom_accel_20h,technical_indicators,momentum,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.044764,0.025481,0.025481,3309609,LOW_REDUNDANCY
ema_12_26_gap,qvol_ma_ratio_5_20,technical_indicators,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.129935,0.083204,0.083204,3302338,LOW_REDUNDANCY
ema_12_26_gap,ma_gap_20_80,technical_indicators,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.721809,0.690479,0.690479,3295245,LOW_REDUNDANCY
rsi_28h,rsi_7h,technical_indicators,technical_indicators,True,TIER_1_STABLE_DIAGNOSTIC,TIER_1_STABLE_DIAGNOSTIC,0.767988,0.749375,0.749375,3308811,MODERATE_REDUNDANCY
rsi_28h,williams_r_14h,technical_indicators,technical_indicators,True,TIER_1_STABLE_DIAGNOSTIC,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.590237,-0.599543,0.599543,3308811,LOW_REDUNDANCY
rsi_28h,downside_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_1_STABLE_DIAGNOSTIC,TIER_1_STABLE_DIAGNOSTIC,-0.192289,-0.259297,0.259297,3308811,LOW_REDUNDANCY
rsi_28h,vol_of_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_1_STABLE_DIAGNOSTIC,TIER_1_STABLE_DIAGNOSTIC,0.047739,0.011704,0.011704,3308811,LOW_REDUNDANCY
