factor_i,factor_j,family_i,family_j,same_family,tier_i,tier_j,pearson_corr,spearman_corr,abs_spearman_corr,n_pairwise_obs,redundancy_level
ema_12_26_gap,rsi_28h,technical_indicators,technical_indicators,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.636447,0.889012,0.889012,213661,HIGH_REDUNDANCY
ema_12_26_gap,rsi_7h,technical_indicators,technical_indicators,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.410923,0.588319,0.588319,214711,LOW_REDUNDANCY
ema_12_26_gap,williams_r_14h,technical_indicators,technical_indicators,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.300285,-0.450622,0.450622,214411,LOW_REDUNDANCY
ema_12_26_gap,downside_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.221364,-0.191913,0.191913,214061,LOW_REDUNDANCY
ema_12_26_gap,vol_of_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.035735,0.048987,0.048987,213861,LOW_REDUNDANCY
ema_12_26_gap,mom_accel_20h,technical_indicators,momentum,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.046464,0.028343,0.028343,213811,LOW_REDUNDANCY
ema_12_26_gap,qvol_ma_ratio_5_20,technical_indicators,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.129377,0.088695,0.088695,214111,LOW_REDUNDANCY
ema_12_26_gap,ma_gap_20_80,technical_indicators,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.721152,0.69253,0.69253,211111,LOW_REDUNDANCY
rsi_28h,rsi_7h,technical_indicators,technical_indicators,True,TIER_1_STABLE_DIAGNOSTIC,TIER_1_STABLE_DIAGNOSTIC,0.776873,0.75504,0.75504,213661,MODERATE_REDUNDANCY
rsi_28h,williams_r_14h,technical_indicators,technical_indicators,True,TIER_1_STABLE_DIAGNOSTIC,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.606606,-0.611349,0.611349,213661,LOW_REDUNDANCY
