factor_id,is_representative_candidate,representative_candidate_flag,diagnostic_tier,direction_alignment,redundancy_group_id,coverage_flag,primary_risk_flags,rankic_same_sign_1h,candidate_status,dynamic_turnover_1h,static_turnover_1h,curation_notes,turnover_flag,expected_direction,multi_horizon_consistency,recommended_research_use,static_RankIC_1h,dynamic_RankIC_1h,redundancy_role,factor_family,source_batch,dynamic_abs_rankic_1h,formula_short,registry_status
mom_5h,False,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,,PASS,DIRECTION_MISMATCH,True,selected_for_7B,0.3521612961251184,0.343788803874591,,NORMAL_TURNOVER,positive,CONSISTENT_3H,REVIEW_DIRECTION_OR_FORMULA,-0.0237835826208074,-0.0282437972147541,NOT_IN_REDUNDANCY_GROUP,momentum,PHASE_7B_BATCH1,,close/close_lag_5-1,DIAGNOSTIC_PROBE
mom_10h,False,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,RG4,PASS,DIRECTION_MISMATCH; REDUNDANT,True,selected_for_7B,0.2551191846539115,0.2492133498400908,,NORMAL_TURNOVER,positive,CONSISTENT_3H,REVIEW_DIRECTION_OR_FORMULA,-0.0188347542914169,-0.0233806620530677,REDUNDANT_GROUP_MEMBER,momentum,PHASE_7B_BATCH1,,close/close_lag_10-1,DIAGNOSTIC_PROBE
mom_40h,False,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,,PASS,DIRECTION_MISMATCH,True,selected_for_7B,0.1331430368073394,0.130424393537998,,NORMAL_TURNOVER,positive,MIXED_2H,REVIEW_DIRECTION_OR_FORMULA,-0.0006707424132456,-0.0122768424460376,NOT_IN_REDUNDANCY_GROUP,momentum,PHASE_7B_BATCH1,,close/close_lag_40-1,DIAGNOSTIC_PROBE
rev_3h,False,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,,PASS,DIRECTION_MISMATCH,True,selected_for_7B,0.4431919600430525,0.4327410840736449,,NORMAL_TURNOVER,negative,CONSISTENT_4H,REVIEW_DIRECTION_OR_FORMULA,0.0253248660016775,0.0300372217233594,NOT_IN_REDUNDANCY_GROUP,reversal,PHASE_7B_BATCH1,,-(close/close_lag_3-1),DIAGNOSTIC_PROBE
rev_10h,True,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,RG4,PASS,DIRECTION_MISMATCH,True,selected_for_7B,0.2529892655482676,0.2490753636645001,,NORMAL_TURNOVER,negative,CONSISTENT_3H,REVIEW_DIRECTION_OR_FORMULA,0.0188347542914169,0.0233806620530677,REPRESENTATIVE_CANDIDATE,reversal,PHASE_7B_BATCH1,,-(close/close_lag_10-1),DIAGNOSTIC_PROBE
rev_24h,True,,TIER_2_PROMISING_BUT_NEEDS_REVIEW,misaligned_both,RG3,PASS,DIRECTION_MISMATCH,True,selected_for_7B,0.1663241343817207,0.1637103451844951,,NORMAL_TURNOVER,negative,MIXED_2H,REVIEW_DIRECTION_OR_FORMULA,0.0139122675985543,0.0189861554117753,REPRESENTATIVE_CANDIDATE,reversal,PHASE_7B_BATCH1,,-(close/close_lag_24-1),DIAGNOSTIC_PROBE
vol_5h,False,,TIER_1_STABLE_DIAGNOSTIC,aligned_both,,PASS,NONE,True,selected_for_7B,0.2315705223687921,0.2188448360254527,,NORMAL_TURNOVER,negative,CONSISTENT_4H,CORE_DIAGNOSTIC_CANDIDATE,-0.0165921199276039,-0.0381793366672759,NOT_IN_REDUNDANCY_GROUP,volatility,PHASE_7B_BATCH1,,"std(ret_1h, 5)",DIAGNOSTIC_PROBE
vol_40h,True,,TIER_1_STABLE_DIAGNOSTIC,aligned_both,RG6,PASS,NONE,True,selected_for_7B,0.0356127980241455,0.03123603968625,,LOW_TURNOVER,negative,CONSISTENT_4H,CORE_DIAGNOSTIC_CANDIDATE,-0.0167526530019578,-0.0420860358029523,REPRESENTATIVE_CANDIDATE,volatility,PHASE_7B_BATCH1,,"std(ret_1h, 40)",DIAGNOSTIC_PROBE
vol_ratio_5_20,False,,TIER_3_WEAK_DIAGNOSTIC,conditional_not_scored,,PASS,WEAK_SIGNAL,True,selected_for_7B,0.3436575356624833,0.3380189752339589,,NORMAL_TURNOVER,conditional,MIXED_2H,WEAK_DIAGNOSTIC_ONLY,-0.0039283188372882,-0.0064046170528635,NOT_IN_REDUNDANCY_GROUP,volatility,PHASE_7B_BATCH1,,"std(ret_1h, 5)/std(ret_1h, 20)",DIAGNOSTIC_PROBE
range_1h,False,,TIER_1_STABLE_DIAGNOSTIC,conditional_not_scored,,PASS,NONE,True,selected_for_7B,0.3956854856551588,0.3710604189182235,,NORMAL_TURNOVER,conditional,CONSISTENT_4H,CORE_DIAGNOSTIC_CANDIDATE,-0.0160947517975154,-0.0412547604368507,NOT_IN_REDUNDANCY_GROUP,range_position,PHASE_7B_BATCH1,,(high-low)/close,DIAGNOSTIC_PROBE
range_4h,False,,TIER_1_STABLE_DIAGNOSTIC,conditional_not_scored,,PASS,NONE,True,selected_for_7B,0.223524352098188,0.2026097592378009,,NORMAL_TURNOVER,conditional,CONSISTENT_4H,CORE_DIAGNOSTIC_CANDIDATE,-0.0161097112231219,-0.0405979536397422,NOT_IN_REDUNDANCY_GROUP,range_position,PHASE_7B_BATCH1,,(HH4-LL4)/close,DIAGNOSTIC_PROBE
range_24h,False,,TIER_1_STABLE_DIAGNOSTIC,conditional_not_scored,RG6,PASS,REDUNDANT,True,selected_for_7B,0.0702043774641199,0.0607566938300349,,LOW_TURNOVER,conditional,CONSISTENT_4H,REDUNDANCY_REVIEW,-0.0139527872065644,-0.037090732780936,REDUNDANT_GROUP_MEMBER,range_position,PHASE_7B_BATCH1,,(HH24-LL24)/close,DIAGNOSTIC_PROBE
price_pos_24h,True,,TIER_1_STABLE_DIAGNOSTIC,conditional_not_scored,RG1,PASS,NONE,True,selected_for_7B,0.2851517480376502,0.2783495020049154,,NORMAL_TURNOVER,conditional,CONSISTENT_4H,CORE_DIAGNOSTIC_CANDIDATE,-0.015548051123665,-0.0153370615498985,REPRESENTATIVE_CANDIDATE,price_position,PHASE_7B_BATCH1,,(close-LL24)/(HH24-LL24+eps),DIAGNOSTIC_PROBE
price_pos_72h,False,,TIER_3_WEAK_DIAGNOSTIC,conditional_not_scored,RG2,PASS,WEAK_SIGNAL; REDUNDANT,True,selected_for_7B,0.1804230634509743,0.1726499751458545,,NORMAL_TURNOVER,conditional,CONSISTENT_3H,REDUNDANCY_REVIEW,-0.0038974721676992,-0.0092881575801829,REDUNDANT_GROUP_MEMBER,price_position,PHASE_7B_BATCH1,,(close-LL72)/(HH72-LL72+eps),DIAGNOSTIC_PROBE
vol_zscore_20h,False,,TIER_4_UNSTABLE_OR_SIGN_FLIP,aligned_static_only,RG5,PASS,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,False,selected_for_7B,0.5690857526748908,0.5695097050993772,,HIGH_TURNOVER,positive,MIXED_2H,REVIEW_DIRECTION_OR_FORMULA,0.0029009828919804,-0.0047526297032684,REDUNDANT_GROUP_MEMBER,volume_liquidity,PHASE_7B_BATCH1,,(vol-SMA20)/STD20,DIAGNOSTIC_PROBE
