family,n_factors,n_batch1,n_batch2,n_tier1,n_tier2,n_tier3,n_tier4,n_core_diagnostic_candidate,n_review_direction_or_formula,n_monitor_turnover_risk,n_weak_diagnostic_only,n_low_priority_research,n_redundancy_groups,family_notes
breakout,2,2,0,0,2,0,0,0,2,0,0,0,0,
cross_sectional_normalized,2,2,0,1,1,0,0,1,0,1,0,0,0,
intraday_candle,3,3,0,0,2,1,0,0,2,1,0,0,0,
momentum,4,3,1,0,4,0,0,0,4,0,0,0,0,
price_position,2,2,0,1,0,1,0,1,0,0,0,0,0,
quote_volume_liquidity,3,2,1,0,0,0,3,0,2,0,0,1,0,
range_position,3,3,0,3,0,0,0,2,0,0,0,0,0,
realized_skew_kurtosis,2,0,2,2,0,0,0,2,0,0,0,0,0,
reversal,3,3,0,0,3,0,0,0,3,0,0,0,0,
technical_indicators,4,0,4,2,2,0,0,2,2,0,0,0,4,
trend_ma,3,2,1,0,1,0,2,0,2,0,0,1,0,
volatility,3,3,0,2,0,1,0,2,0,0,1,0,0,
volume_liquidity,2,2,0,0,0,0,2,0,2,0,0,0,0,
