family,n_factors,source_phases,factor_type,tier_distribution
breakout,2,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW
cross_sectional_normalized,2,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC;TIER_2_PROMISING_BUT_NEEDS_REVIEW
funding_rate,3,7M,crypto_native,TIER_3_WEAK_DIAGNOSTIC;TIER_4_UNSTABLE_OR_SIGN_FLIP
intraday_candle,3,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW;TIER_3_WEAK_DIAGNOSTIC
momentum,4,PHASE_7B_BATCH1;PHASE_7I_BATCH2,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW
price_position,2,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC;TIER_3_WEAK_DIAGNOSTIC
quote_volume_liquidity,3,PHASE_7B_BATCH1;PHASE_7I_BATCH2,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP
range_position,3,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC
realized_skew_kurtosis,2,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC
reversal,3,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW
taker_imbalance,3,7M,crypto_native,TIER_2_PROMISING_BUT_NEEDS_REVIEW;TIER_3_WEAK_DIAGNOSTIC
technical_indicators,4,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC;TIER_2_PROMISING_BUT_NEEDS_REVIEW
trend_ma,3,PHASE_7B_BATCH1;PHASE_7I_BATCH2,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW;TIER_4_UNSTABLE_OR_SIGN_FLIP
volatility,3,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC;TIER_3_WEAK_DIAGNOSTIC
volume_liquidity,2,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP
