family,n_factors,source_phases,factor_type,tier_distribution,research_use_distribution
breakout,2,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW:2,REVIEW_DIRECTION_OR_FORMULA:2
cross_sectional_normalized,2,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC:1;TIER_2_PROMISING_BUT_NEEDS_REVIEW:1,CORE_DIAGNOSTIC_CANDIDATE:1;MONITOR_TURNOVER_RISK:1
funding_rate,3,7M,crypto_native,TIER_3_WEAK_DIAGNOSTIC:2;TIER_4_UNSTABLE_OR_SIGN_FLIP:1,LOW_PRIORITY_RESEARCH:1;REVIEW_DIRECTION_OR_FORMULA:1;WEAK_DIAGNOSTIC_ONLY:1
intraday_candle,3,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW:2;TIER_3_WEAK_DIAGNOSTIC:1,MONITOR_TURNOVER_RISK:1;REVIEW_DIRECTION_OR_FORMULA:2
momentum,4,PHASE_7B_BATCH1;PHASE_7I_BATCH2,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW:4,REVIEW_DIRECTION_OR_FORMULA:4
price_position,2,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC:1;TIER_3_WEAK_DIAGNOSTIC:1,CORE_DIAGNOSTIC_CANDIDATE:1;REDUNDANCY_REVIEW:1
quote_volume_liquidity,3,PHASE_7B_BATCH1;PHASE_7I_BATCH2,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP:3,LOW_PRIORITY_RESEARCH:1;REVIEW_DIRECTION_OR_FORMULA:2
range_position,3,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC:3,CORE_DIAGNOSTIC_CANDIDATE:2;REDUNDANCY_REVIEW:1
realized_skew_kurtosis,2,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC:2,CORE_DIAGNOSTIC_CANDIDATE:2
reversal,3,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW:3,REVIEW_DIRECTION_OR_FORMULA:3
taker_imbalance,3,7M,crypto_native,TIER_2_PROMISING_BUT_NEEDS_REVIEW:2;TIER_3_WEAK_DIAGNOSTIC:1,REVIEW_DIRECTION_OR_FORMULA:2;WEAK_DIAGNOSTIC_ONLY:1
technical_indicators,4,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC:2;TIER_2_PROMISING_BUT_NEEDS_REVIEW:2,CORE_DIAGNOSTIC_CANDIDATE:2;REVIEW_DIRECTION_OR_FORMULA:2
trend_ma,3,PHASE_7B_BATCH1;PHASE_7I_BATCH2,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW:1;TIER_4_UNSTABLE_OR_SIGN_FLIP:2,LOW_PRIORITY_RESEARCH:1;REVIEW_DIRECTION_OR_FORMULA:2
volatility,3,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC:2;TIER_3_WEAK_DIAGNOSTIC:1,CORE_DIAGNOSTIC_CANDIDATE:2;WEAK_DIAGNOSTIC_ONLY:1
volume_liquidity,2,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP:2,REVIEW_DIRECTION_OR_FORMULA:2
