factor_id,factor_family,source_phase,factor_type,diagnostic_tier,expected_direction,recommended_research_use,redundancy_status,review_flags,curation_notes
mom_5h,momentum,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,positive,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,
mom_10h,momentum,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,positive,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; REDUNDANT,
mom_40h,momentum,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,positive,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,
rev_3h,reversal,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,negative,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,
rev_10h,reversal,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,negative,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,
rev_24h,reversal,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,negative,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,
vol_5h,volatility,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,negative,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,
vol_40h,volatility,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,negative,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,
vol_ratio_5_20,volatility,PHASE_7B_BATCH1,ohlcv_derived,TIER_3_WEAK_DIAGNOSTIC,conditional,WEAK_DIAGNOSTIC_ONLY,NOT_IN_REDUNDANCY_GROUP,WEAK_SIGNAL,
range_1h,range_position,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,conditional,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,
range_4h,range_position,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,conditional,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,
range_24h,range_position,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,conditional,REDUNDANCY_REVIEW,REDUNDANT_GROUP_MEMBER,REDUNDANT,
price_pos_24h,price_position,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,conditional,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,
price_pos_72h,price_position,PHASE_7B_BATCH1,ohlcv_derived,TIER_3_WEAK_DIAGNOSTIC,conditional,REDUNDANCY_REVIEW,REDUNDANT_GROUP_MEMBER,WEAK_SIGNAL; REDUNDANT,
vol_zscore_20h,volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,positive,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,
vol_zscore_48h,volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,positive,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,
qvol_zscore_20h,quote_volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,positive,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,
qvol_zscore_48h,quote_volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,positive,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE,
ma_gap_5_20,trend_ma,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,positive,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,
ma_gap_10_40,trend_ma,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,positive,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,
breakout_dist_20h,breakout,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,positive,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; REDUNDANT,
