factor_id,factor_family,diagnostic_tier,recommended_research_use,redundancy_status,review_flags,why_ready_for_human_review,remaining_risks,human_decision_placeholder
vol_5h,volatility,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,"TIER_1 CORE_DIAGNOSTIC_CANDIDATE, non-redundant, clean review flags",NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,PENDING_HUMAN_REVIEW
vol_40h,volatility,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,"TIER_1 CORE_DIAGNOSTIC_CANDIDATE, non-redundant, clean review flags",NONE; redundancy=REPRESENTATIVE_CANDIDATE,PENDING_HUMAN_REVIEW
range_1h,range_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,"TIER_1 CORE_DIAGNOSTIC_CANDIDATE, non-redundant, clean review flags",NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,PENDING_HUMAN_REVIEW
range_4h,range_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,"TIER_1 CORE_DIAGNOSTIC_CANDIDATE, non-redundant, clean review flags",NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,PENDING_HUMAN_REVIEW
price_pos_24h,price_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,"TIER_1 CORE_DIAGNOSTIC_CANDIDATE, non-redundant, clean review flags",NONE; redundancy=REPRESENTATIVE_CANDIDATE,PENDING_HUMAN_REVIEW
xs_rank_vol,cross_sectional_normalized,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,"TIER_1 CORE_DIAGNOSTIC_CANDIDATE, non-redundant, clean review flags",NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,PENDING_HUMAN_REVIEW
rsi_28h,technical_indicators,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,"TIER_1 CORE_DIAGNOSTIC_CANDIDATE, non-redundant, clean review flags",NONE; redundancy=REPRESENTATIVE_CANDIDATE,PENDING_HUMAN_REVIEW
rsi_7h,technical_indicators,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,"TIER_1 CORE_DIAGNOSTIC_CANDIDATE, non-redundant, clean review flags",NONE; redundancy=REPRESENTATIVE_CANDIDATE,PENDING_HUMAN_REVIEW
downside_vol_20h,realized_skew_kurtosis,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,"TIER_1 CORE_DIAGNOSTIC_CANDIDATE, non-redundant, clean review flags",NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,PENDING_HUMAN_REVIEW
vol_of_vol_20h,realized_skew_kurtosis,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,"TIER_1 CORE_DIAGNOSTIC_CANDIDATE, non-redundant, clean review flags",NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,PENDING_HUMAN_REVIEW
