factor_id,proposed_human_decision,reviewer_notes,decision_date,reviewer
mom_5h,PENDING_HUMAN_REVIEW,,,
mom_10h,PENDING_HUMAN_REVIEW,,,
mom_40h,PENDING_HUMAN_REVIEW,,,
rev_3h,PENDING_HUMAN_REVIEW,,,
rev_10h,PENDING_HUMAN_REVIEW,,,
rev_24h,PENDING_HUMAN_REVIEW,,,
vol_5h,PENDING_HUMAN_REVIEW,,,
vol_40h,PENDING_HUMAN_REVIEW,,,
vol_ratio_5_20,PENDING_HUMAN_REVIEW,,,
range_1h,PENDING_HUMAN_REVIEW,,,
range_4h,PENDING_HUMAN_REVIEW,,,
range_24h,PENDING_HUMAN_REVIEW,,,
price_pos_24h,PENDING_HUMAN_REVIEW,,,
price_pos_72h,PENDING_HUMAN_REVIEW,,,
vol_zscore_20h,PENDING_HUMAN_REVIEW,,,
vol_zscore_48h,PENDING_HUMAN_REVIEW,,,
qvol_zscore_20h,PENDING_HUMAN_REVIEW,,,
qvol_zscore_48h,PENDING_HUMAN_REVIEW,,,
ma_gap_5_20,PENDING_HUMAN_REVIEW,,,
ma_gap_10_40,PENDING_HUMAN_REVIEW,,,
breakout_dist_20h,PENDING_HUMAN_REVIEW,,,
breakout_dist_48h,PENDING_HUMAN_REVIEW,,,
candle_body,PENDING_HUMAN_REVIEW,,,
candle_wick_upper,PENDING_HUMAN_REVIEW,,,
candle_wick_lower,PENDING_HUMAN_REVIEW,,,
xs_rank_ret_1h,PENDING_HUMAN_REVIEW,,,
xs_rank_vol,PENDING_HUMAN_REVIEW,,,
ema_12_26_gap,PENDING_HUMAN_REVIEW,,,
rsi_28h,PENDING_HUMAN_REVIEW,,,
rsi_7h,PENDING_HUMAN_REVIEW,,,
williams_r_14h,PENDING_HUMAN_REVIEW,,,
downside_vol_20h,PENDING_HUMAN_REVIEW,,,
vol_of_vol_20h,PENDING_HUMAN_REVIEW,,,
mom_accel_20h,PENDING_HUMAN_REVIEW,,,
qvol_ma_ratio_5_20,PENDING_HUMAN_REVIEW,,,
ma_gap_20_80,PENDING_HUMAN_REVIEW,,,
taker_buy_ratio_20h,PENDING_HUMAN_REVIEW,,,
taker_buy_zscore_20h,PENDING_HUMAN_REVIEW,,,
taker_buy_delta_5h,PENDING_HUMAN_REVIEW,,,
funding_rate_level_20h,PENDING_HUMAN_REVIEW,,,
funding_rate_zscore_80h,PENDING_HUMAN_REVIEW,,,
funding_rate_change_24h,PENDING_HUMAN_REVIEW,,,
