factor_id,factor_family,source_phase,factor_type,expected_direction,diagnostic_tier,review_flags,redundancy_status,max_static_corr,max_dynamic_corr,medium_redundancy_pairs,recommended_research_use,curation_notes,phase8b_status,pm_decision,decision_scope
mom_5h,momentum,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH,NOT_IN_REDUNDANCY_GROUP,,,NONE,REVIEW_DIRECTION_OR_FORMULA,,DIAGNOSTIC_PROBE,PARK_DIRECTION_REVIEW,Phase 8B PM candidate-review decision application
mom_10h,momentum,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH; REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,,DIAGNOSTIC_PROBE,PARK_REDUNDANCY_REVIEW,Phase 8B PM candidate-review decision application
mom_40h,momentum,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH,NOT_IN_REDUNDANCY_GROUP,,,NONE,REVIEW_DIRECTION_OR_FORMULA,,DIAGNOSTIC_PROBE,PARK_DIRECTION_REVIEW,Phase 8B PM candidate-review decision application
rev_3h,reversal,PHASE_7B_BATCH1,ohlcv_derived,negative,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH,NOT_IN_REDUNDANCY_GROUP,,,NONE,REVIEW_DIRECTION_OR_FORMULA,,DIAGNOSTIC_PROBE,PARK_DIRECTION_REVIEW,Phase 8B PM candidate-review decision application
rev_10h,reversal,PHASE_7B_BATCH1,ohlcv_derived,negative,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH,REPRESENTATIVE_CANDIDATE,,,NONE,REVIEW_DIRECTION_OR_FORMULA,,DIAGNOSTIC_PROBE,PARK_DIRECTION_REVIEW,Phase 8B PM candidate-review decision application
rev_24h,reversal,PHASE_7B_BATCH1,ohlcv_derived,negative,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH,REPRESENTATIVE_CANDIDATE,,,NONE,REVIEW_DIRECTION_OR_FORMULA,,DIAGNOSTIC_PROBE,PARK_DIRECTION_REVIEW,Phase 8B PM candidate-review decision application
vol_5h,volatility,PHASE_7B_BATCH1,ohlcv_derived,negative,TIER_1_STABLE_DIAGNOSTIC,NONE,NOT_IN_REDUNDANCY_GROUP,,,NONE,CORE_DIAGNOSTIC_CANDIDATE,,CANDIDATE_REVIEW,APPROVE_CANDIDATE_REVIEW,Phase 8B PM candidate-review decision application
vol_40h,volatility,PHASE_7B_BATCH1,ohlcv_derived,negative,TIER_1_STABLE_DIAGNOSTIC,NONE,REPRESENTATIVE_CANDIDATE,,,NONE,CORE_DIAGNOSTIC_CANDIDATE,,CANDIDATE_REVIEW,APPROVE_CANDIDATE_REVIEW,Phase 8B PM candidate-review decision application
vol_ratio_5_20,volatility,PHASE_7B_BATCH1,ohlcv_derived,conditional,TIER_3_WEAK_DIAGNOSTIC,WEAK_SIGNAL,NOT_IN_REDUNDANCY_GROUP,,,NONE,WEAK_DIAGNOSTIC_ONLY,,DIAGNOSTIC_PROBE,PARK_WEAK_OR_LOW_PRIORITY,Phase 8B PM candidate-review decision application
range_1h,range_position,PHASE_7B_BATCH1,ohlcv_derived,conditional,TIER_1_STABLE_DIAGNOSTIC,NONE,NOT_IN_REDUNDANCY_GROUP,,,NONE,CORE_DIAGNOSTIC_CANDIDATE,,CANDIDATE_REVIEW,APPROVE_CANDIDATE_REVIEW,Phase 8B PM candidate-review decision application
range_4h,range_position,PHASE_7B_BATCH1,ohlcv_derived,conditional,TIER_1_STABLE_DIAGNOSTIC,NONE,NOT_IN_REDUNDANCY_GROUP,,,NONE,CORE_DIAGNOSTIC_CANDIDATE,,CANDIDATE_REVIEW,APPROVE_CANDIDATE_REVIEW,Phase 8B PM candidate-review decision application
range_24h,range_position,PHASE_7B_BATCH1,ohlcv_derived,conditional,TIER_1_STABLE_DIAGNOSTIC,REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REDUNDANCY_REVIEW,,DIAGNOSTIC_PROBE,PARK_REDUNDANCY_REVIEW,Phase 8B PM candidate-review decision application
price_pos_24h,price_position,PHASE_7B_BATCH1,ohlcv_derived,conditional,TIER_1_STABLE_DIAGNOSTIC,NONE,REPRESENTATIVE_CANDIDATE,,,NONE,CORE_DIAGNOSTIC_CANDIDATE,,CANDIDATE_REVIEW,APPROVE_CANDIDATE_REVIEW,Phase 8B PM candidate-review decision application
price_pos_72h,price_position,PHASE_7B_BATCH1,ohlcv_derived,conditional,TIER_3_WEAK_DIAGNOSTIC,WEAK_SIGNAL; REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REDUNDANCY_REVIEW,,DIAGNOSTIC_PROBE,PARK_WEAK_OR_LOW_PRIORITY,Phase 8B PM candidate-review decision application
vol_zscore_20h,volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,,DIAGNOSTIC_PROBE,PARK_REDUNDANCY_REVIEW,Phase 8B PM candidate-review decision application
vol_zscore_48h,volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,,DIAGNOSTIC_PROBE,PARK_REDUNDANCY_REVIEW,Phase 8B PM candidate-review decision application
qvol_zscore_20h,quote_volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,,DIAGNOSTIC_PROBE,PARK_REDUNDANCY_REVIEW,Phase 8B PM candidate-review decision application
