metric,value,signal_id,component
total_rows,3314397,all,all
timestamp_count,17801,all,all
symbol_count,266,all,all
timestamp_min,2024-06-01 08:00:00+00:00,all,all
timestamp_max,2026-06-13 00:00:00+00:00,all,all
valid_count,3314397,signal_v0_core_only,signal_v0_core_only
missing_rate,0.000000,signal_v0_core_only,signal_v0_core_only
mean,0.000000,signal_v0_core_only,signal_v0_core_only
std,1.000000,signal_v0_core_only,signal_v0_core_only
min,-7.946708,signal_v0_core_only,signal_v0_core_only
max,4.854024,signal_v0_core_only,signal_v0_core_only
valid_count,3311205,signal_v0_pm_full_structured,signal_v0_pm_full_structured
missing_rate,0.000963,signal_v0_pm_full_structured,signal_v0_pm_full_structured
mean,-0.000000,signal_v0_pm_full_structured,signal_v0_pm_full_structured
std,1.000000,signal_v0_pm_full_structured,signal_v0_pm_full_structured
min,-8.090886,signal_v0_pm_full_structured,signal_v0_pm_full_structured
max,5.538339,signal_v0_pm_full_structured,signal_v0_pm_full_structured
valid_count,3311205,signal_v0_family_balanced_diagnostic,signal_v0_family_balanced_diagnostic
missing_rate,0.000963,signal_v0_family_balanced_diagnostic,signal_v0_family_balanced_diagnostic
mean,-0.000000,signal_v0_family_balanced_diagnostic,signal_v0_family_balanced_diagnostic
std,1.000000,signal_v0_family_balanced_diagnostic,signal_v0_family_balanced_diagnostic
min,-7.361781,signal_v0_family_balanced_diagnostic,signal_v0_family_balanced_diagnostic
max,4.993544,signal_v0_family_balanced_diagnostic,signal_v0_family_balanced_diagnostic
missing_rate,0.000000,component,risk_pressure_component
missing_rate,0.000000,component,oscillator_exhaustion_component
missing_rate,0.000000,component,raw_core_score
missing_rate,0.000963,component,liquidity_gate
missing_rate,0.000000,component,position_timing_overlay
missing_rate,0.000000,component,position_overlay_multiplier
