factor_name,label,ic_mean,rankic_mean,spread_mean,coverage,warning_flags,warning_count,severity,recommendation
mom_20h,ret_fwd_1h,0.0035997301683255425,-0.014668226332313596,0.0003557598738805799,0.995349745631086,DIRECTION_CONFLICT; MONTHLY_INSTABILITY; SYMBOL_CONCENTRATION,3,MEDIUM,REVIEW_LATER
mom_20h,ret_fwd_4h,-0.0021960986523711684,-0.02126512273512586,0.0014908386641040979,0.995349745631086,DIRECTION_CONFLICT; MONTHLY_INSTABILITY; OUTLIER_SENSITIVE; SYMBOL_CONCENTRATION,4,HIGH,PARK
mom_20h,ret_fwd_24h,0.002163322942767153,-0.008254324808265257,0.009758849083312864,0.995349745631086,DIRECTION_CONFLICT; MONTHLY_INSTABILITY; OVERLAP_INFLATION; OUTLIER_SENSITIVE; SYMBOL_CONCENTRATION,5,HIGH,PARK
mom_20h,ret_fwd_72h,0.002461860838016163,0.01303878059215843,0.01223743470138784,0.995349745631086,MONTHLY_INSTABILITY; OVERLAP_INFLATION; OUTLIER_SENSITIVE; SYMBOL_CONCENTRATION,4,HIGH,PARK
reversal_5h,ret_fwd_1h,-0.0063609491341093515,0.024292656132737844,-0.0001440841742988652,0.9988374364077715,DIRECTION_CONFLICT; MONTHLY_INSTABILITY; OUTLIER_SENSITIVE; SYMBOL_CONCENTRATION,4,HIGH,PARK
reversal_5h,ret_fwd_4h,-0.005904780156161609,0.023821242160656914,-0.0010685332553332788,0.9988374364077715,DIRECTION_CONFLICT; MONTHLY_INSTABILITY; SYMBOL_CONCENTRATION,3,MEDIUM,REVIEW_LATER
reversal_5h,ret_fwd_24h,0.0016662828115964687,0.015572174957241457,-0.004130487627079525,0.9988374364077715,DIRECTION_CONFLICT; MONTHLY_INSTABILITY; OVERLAP_INFLATION; OUTLIER_SENSITIVE; SYMBOL_CONCENTRATION,5,HIGH,PARK
reversal_5h,ret_fwd_72h,-0.0035913456621061747,-0.0003847318745446814,-0.007095973805267811,0.9988374364077715,MONTHLY_INSTABILITY; OVERLAP_INFLATION; OUTLIER_SENSITIVE; SYMBOL_CONCENTRATION,4,HIGH,PARK
volatility_20h,ret_fwd_1h,0.005645890830617827,-0.016698237218805635,0.0007695420130352998,0.995349745631086,DIRECTION_CONFLICT; MONTHLY_INSTABILITY; OUTLIER_SENSITIVE; SYMBOL_CONCENTRATION,4,HIGH,PARK
volatility_20h,ret_fwd_4h,0.016905397498029436,-0.019146942408504227,0.0032216030234895904,0.995349745631086,DIRECTION_CONFLICT; SYMBOL_CONCENTRATION,2,MEDIUM,REVIEW_LATER
volatility_20h,ret_fwd_24h,0.024529221606722124,-0.017773761798048966,0.01679993361792085,0.995349745631086,DIRECTION_CONFLICT; OVERLAP_INFLATION; OUTLIER_SENSITIVE; SYMBOL_CONCENTRATION,4,HIGH,PARK
volatility_20h,ret_fwd_72h,0.04022309639644767,-0.017702521596797045,0.039900373864684854,0.995349745631086,DIRECTION_CONFLICT; OVERLAP_INFLATION; OUTLIER_SENSITIVE; SYMBOL_CONCENTRATION,4,HIGH,PARK
rsi_14h,ret_fwd_1h,0.009489276035405645,-0.012953286939280216,0.0004983379452898184,0.9967448219417602,DIRECTION_CONFLICT; SYMBOL_CONCENTRATION,2,MEDIUM,REVIEW_LATER
rsi_14h,ret_fwd_4h,0.012548615178813937,-0.014227373433392419,0.001575136924165653,0.9967448219417602,DIRECTION_CONFLICT; SYMBOL_CONCENTRATION,2,MEDIUM,REVIEW_LATER
rsi_14h,ret_fwd_24h,0.02236014997961657,-0.0008134419332215259,0.008372141139335198,0.9967448219417602,DIRECTION_CONFLICT; MONTHLY_INSTABILITY; OVERLAP_INFLATION; SYMBOL_CONCENTRATION,4,HIGH,PARK
rsi_14h,ret_fwd_72h,0.02861824732777944,0.02026513085303031,0.014139869403931263,0.9967448219417602,MONTHLY_INSTABILITY; OVERLAP_INFLATION; SYMBOL_CONCENTRATION,3,MEDIUM,REVIEW_LATER
bb_zscore_20h,ret_fwd_1h,0.0035220251498822635,-0.01852317260365198,0.00036489433405137835,0.9955822583495317,DIRECTION_CONFLICT,1,LOW,KEEP_AS_PROBE
bb_zscore_20h,ret_fwd_4h,0.005866185515849471,-0.019979290279841553,0.0014442191552074336,0.9955822583495317,DIRECTION_CONFLICT; MONTHLY_INSTABILITY,2,MEDIUM,REVIEW_LATER
bb_zscore_20h,ret_fwd_24h,0.014163052001983367,-0.00639259424355187,0.0066161077303986005,0.9955822583495317,DIRECTION_CONFLICT; MONTHLY_INSTABILITY; OVERLAP_INFLATION,3,MEDIUM,REVIEW_LATER
bb_zscore_20h,ret_fwd_72h,0.01168154231957109,0.007141187011571494,0.008644695937518598,0.9955822583495317,MONTHLY_INSTABILITY; OVERLAP_INFLATION,2,MEDIUM,REVIEW_LATER
